9 0.22128 0.11088 0.21069 0.30821 0.27085 0.17866 0.10962 0.011791 0.032503 0.074118 0.071712 0.088518 0.061088 0.025058 0.013791 0.004546 -0.078014 -0.068174 -0.086635 -0.078722 -0.071463 0.009042 0.094183 0.27675 0.35487 0.45314 0.46302 0.41509 0.42505 0.48645 0.42032 0.42468 0.44969 0.52113 0.52568 0.48661 0.46121 0.53311 0.44116 0.27137 0.17557 -0.026171 -0.1168 -0.090393 -0.070222 -0.021153 -0.051899 -0.26604 -0.35781 -0.38537 -0.53458 -0.63249 -0.6628 -0.66186 -0.54984 -0.53401 -0.56567 -0.43569 -0.32475 -0.22083 -0.22493 -0.20411 -0.006515 0.15242
9.5 0.2354 0.40502 0.5024 0.63899 0.63325 0.63343 0.5219 0.41089 0.30637 0.36129 0.39958 0.44641 0.46698 0.47111 0.44063 0.42051 0.34842 0.3904 0.38079 0.43095 0.39924 0.37137 0.4228 0.51513 0.58853 0.608 0.59616 0.52149 0.50501 0.59896 0.64529 0.59513 0.57424 0.49247 0.43961 0.41358 0.42282 0.3865 0.35489 0.23785 0.08349 -0.016019 -0.15797 -0.29099 -0.33647 -0.35053 -0.42464 -0.58606 -0.77048 -0.97743 -0.96212 -0.89238 -0.78702 -0.69781 -0.60882 -0.48692 -0.34438 -0.22433 -0.2142 -0.17247 -0.038094 0.069579 0.17529 0.44676
10 0.13393 0.37434 0.47742 0.51684 0.65649 0.67642 0.71555 0.71183 0.65271 0.60338 0.66569 0.73893 0.76951 0.83421 0.80071 0.7615 0.86246 0.87535 0.92895 0.89854 0.90426 0.84876 0.79165 0.64672 0.61234 0.59848 0.63708 0.63066 0.55557 0.48083 0.55696 0.57595 0.53714 0.34771 0.2682 0.23167 0.21478 0.15196 0.13179 0.088829 0.060559 0.019025 -0.07825 -0.23606 -0.36891 -0.49838 -0.58801 -0.62994 -0.78379 -0.87122 -0.84344 -0.64352 -0.49426 -0.36857 -0.31794 -0.15723 0.059327 0.12194 0.22686 0.2212 0.29185 0.39935 0.48835 0.49287
10.5 0.13793 0.07455 0.16426 0.27747 0.45362 0.64532 0.75667 0.83674 0.87369 0.84217 0.82639 0.79558 0.87401 0.83384 0.85537 0.90854 0.9643 0.94195 1.0087 0.96485 0.99267 0.99645 0.80195 0.66284 0.58959 0.52607 0.49262 0.50264 0.40828 0.26623 0.20847 0.24224 0.12363 0.06908 -0.10014 -0.13756 -0.22611 -0.25825 -0.25018 -0.13064 -0.052503 0.001993 0.018297 0.002172 -0.13394 -0.29824 -0.32256 -0.26077 -0.1789 -0.083676 -0.076763 -0.089013 0.065129 0.16618 0.28196 0.38598 0.36635 0.43698 0.50037 0.61749 0.63742 0.68627 0.60265 0.39188
11 0.27613 0.15846 0.096114 0.12768 0.209 0.41523 0.58252 0.67785 0.74959 0.73452 0.66988 0.62666 0.53667 0.51172 0.54639 0.62081 0.5736 0.64765 0.59118 0.78072 0.72414 0.6395 0.61078 0.53383 0.33004 0.22463 0.10454 0.031153 0.012801 -0.048352 -0.29144 -0.51476 -0.50586 -0.42593 -0.41231 -0.5408 -0.57323 -0.53437 -0.47754 -0.32365 -0.18975 -0.078576 0.000684 0.038013 0.055943 0.12508 0.1879 0.30879 0.49392 0.62705 0.70651 0.67379 0.5844 0.66633 0.7748 0.70651 0.62717 0.54989 0.55075 0.62891 0.66839 0.577 0.41175 0.21319
11.5 0.5279 0.53617 0.44042 0.37451 0.26164 0.15841 0.23456 0.34547 0.3884 0.41464 0.32629 0.2554 0.14727 0.20165 0.24729 0.19808 0.23107 0.22811 0.26828 0.18959 0.1969 0.14206 0.11363 0.007685 -0.095234 -0.21152 -0.3158 -0.38756 -0.39303 -0.45523 -0.59832 -0.73447 -0.83266 -0.82679 -0.67364 -0.61605 -0.55257 -0.51112 -0.36841 -0.35126 -0.18693 -0.085386 0.027349 0.070489 0.24227 0.43399 0.51768 0.57582 0.77564 0.92115 1.0364 1.081 1.0366 0.98909 0.90846 0.77465 0.70253 0.58095 0.51049 0.46463 0.43892 0.29541 0.20893 0.099933
12 0.71655 0.76585 0.74233 0.57775 0.39755 0.22909 0.060415 0.016458 0.081048 0.11904 0.12892 0.050319 0.073336 0.067366 0.033985 -0.008967 -0.064091 -0.1204 -0.18618 -0.38298 -0.46608 -0.54701 -0.62738 -0.63937 -0.57557 -0.61396 -0.57431 -0.61993 -0.64319 -0.64644 -0.51787 -0.5157 -0.54758 -0.61266 -0.54663 -0.34707 -0.26139 -0.13585 -0.12224 -0.033029 -0.015093 0.089374 0.18032 0.40237 0.51593 0.60059 0.74799 0.86685 0.89244 0.99102 1.0617 1.1608 1.1836 0.99282 0.7598 0.73539 0.64436 0.66668 0.511 0.27727 0.088927 0.031013 -0.027933 -0.006491
12.5 0.55648 0.58323 0.6004 0.52717 0.42465 0.26583 0.099588 -0.048829 -0.16389 -0.16286 -0.075224 -0.007119 0.071155 -0.075593 -0.17368 -0.19826 -0.30553 -0.49459 -0.68409 -0.8006 -1.0065 -1.0279 -1.0431 -0.92133 -0.88019 -0.75831 -0.72768 -0.65207 -0.69328 -0.54765 -0.42539 -0.19714 -0.061358 0.04287 -0.000762 0.10651 0.27011 0.31723 0.33347 0.35358 0.27627 0.27667 0.39236 0.55517 0.70548 0.75218 0.83423 0.92288 0.85064 0.84566 0.8415 0.84888 0.85869 0.7602 0.6989 0.61481 0.60965 0.47297 0.36178 0.14355 -0.087047 -0.15668 -0.14894 -0.11232
13 0.30184 0.16775 0.11825 0.18295 0.2013 0.15493 0.094787 -0.039363 -0.1638 -0.22832 -0.23398 -0.13088 -0.22078 -0.22267 -0.37514 -0.52429 -0.62993 -0.73234 -0.90549 -0.98423 -1.0095 -0.98437 -0.87101 -0.87489 -0.76333 -0.71946 -0.66453 -0.56803 -0.41534 -0.3713 -0.21387 0.004144 0.21532 0.31687 0.37005 0.38365 0.48508 0.56532 0.62899 0.4818 0.51169 0.48613 0.50887 0.50911 0.57374 0.71823 0.76125 0.7063 0.7487 0.60595 0.55733 0.42583 0.3108 0.40186 0.43002 0.38833 0.329 0.22762 0.15205 0.10247 0.034573 -0.074005 -0.099351 -0.044974
13.5 0.027518 -0.13907 -0.21019 -0.20742 -0.13905 -0.058738 -0.12656 -0.1625 -0.22409 -0.37134 -0.40645 -0.47642 -0.53857 -0.5705 -0.557 -0.66377 -0.77076 -0.85625 -0.88408 -0.84745 -0.68918 -0.69882 -0.63041 -0.54719 -0.54541 -0.46451 -0.42278 -0.39901 -0.23821 -0.086976 0.043448 0.083569 0.18535 0.33035 0.53206 0.46727 0.39848 0.4224 0.40847 0.50708 0.5015 0.56229 0.52052 0.39747 0.37192 0.39017 0.35831 0.36195 0.317 0.22698 0.05447 -0.046963 -0.095269 -0.094919 -0.040739 -0.041825 -0.10907 -0.071126 -0.087063 0.030632 0.1343 0.13066 0.16283 0.16794
